genotype,site_code,latitude,longitude,study,trait,measured?
26,Chynoweth01,39.76604,-109.5635,walker,leaf_no_21d,no
26,Chynoweth01,39.76604,-109.5635,walker,leaf_no_35d,no
26,Chynoweth01,39.76604,-109.5635,walker,tiller_no_35d,no
26,Chynoweth01,39.76604,-109.5635,walker,shoot_dry_wt_g,no
26,Chynoweth01,39.76604,-109.5635,walker,shoot_leaf_area_cm2,no
26,Chynoweth01,39.76604,-109.5635,walker,root_dry_wt_g,no
26,Chynoweth01,39.76604,-109.5635,walker,root_length_cm,no
26,Chynoweth01,39.76604,-109.5635,walker,root_proj_area_cm2,no
26,Chynoweth01,39.76604,-109.5635,walker,root_surf_area_cm2,no
26,Chynoweth01,39.76604,-109.5635,walker,root_avg_diam_mm,no
26,Chynoweth01,39.76604,-109.5635,walker,root_vol_cm3,no
26,Chynoweth01,39.76604,-109.5635,walker,root_no_tips,no
26,Chynoweth01,39.76604,-109.5635,walker,root_no_forks,no
26,Chynoweth01,39.76604,-109.5635,walker,root_no_crossings,no
26,Chynoweth01,39.76604,-109.5635,walker,root_length_cm_by_diam_class_mm_0_l_0_5,no
26,Chynoweth01,39.76604,-109.5635,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,no
26,Chynoweth01,39.76604,-109.5635,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,no
26,Chynoweth01,39.76604,-109.5635,davidson,phen_score,no
26,Chynoweth01,39.76604,-109.5635,davidson,freezing_point,no
26,Chynoweth01,39.76604,-109.5635,davidson,min_temp_reached,no
26,Chynoweth01,39.76604,-109.5635,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,no
26,Chynoweth01,39.76604,-109.5635,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,no
26,Chynoweth01,39.76604,-109.5635,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,no
26,Chynoweth01,39.76604,-109.5635,walker,root_length_cm_by_diam_class_mm_l_4_5,no
26,Chynoweth01,39.76604,-109.5635,cg_2022,first_flower,yes
26,Chynoweth01,39.76604,-109.5635,cg_2022,inflor_mass,yes
26,Chynoweth01,39.76604,-109.5635,cg_2022,veg_mass,yes
26,Chynoweth01,39.76604,-109.5635,cg_2022,seed_count,yes
26,Chynoweth01,39.76604,-109.5635,gamba,seed_m,yes
26,Chynoweth01,39.76604,-109.5635,gamba,seed_n,yes
26,Chynoweth01,39.76604,-109.5635,gamba,seed1m,yes
26,Chynoweth01,39.76604,-109.5635,gamba,seedling_height_cm,yes
26,Chynoweth01,39.76604,-109.5635,gamba,days_to_flower,yes
26,Chynoweth01,39.76604,-109.5635,gamba,inflor_height_cm,yes
26,Chynoweth01,39.76604,-109.5635,davidson,d_fv_fm,no
26,Chynoweth01,39.76604,-109.5635,davidson,sla_m2_kg,no
26,Chynoweth01,39.76604,-109.5635,gamba,rep_biomass_mg,yes
26,Chynoweth01,39.76604,-109.5635,gamba,total_dry_biomass_mg,yes
26,Chynoweth01,39.76604,-109.5635,gamba,inflor_number,yes
26,Chynoweth01,39.76604,-109.5635,gamba,veg_biomass_mg,yes
27,Board1,38.84,-117.57,davidson,sla_m2_kg,no
27,Board1,38.84,-117.57,gamba,days_to_flower,yes
27,Board1,38.84,-117.57,gamba,seedling_height_cm,yes
27,Board1,38.84,-117.57,gamba,adult_height_cm,yes
27,Board1,38.84,-117.57,gamba,spring_growth_cm,yes
27,Board1,38.84,-117.57,gamba,tillers_n,yes
27,Board1,38.84,-117.57,gamba,leaves_n,yes
27,Board1,38.84,-117.57,gamba,inflor_height_cm,yes
27,Board1,38.84,-117.57,gamba,inflor_number,yes
27,Board1,38.84,-117.57,gamba,veg_biomass_mg,yes
27,Board1,38.84,-117.57,gamba,rep_biomass_mg,yes
27,Board1,38.84,-117.57,gamba,total_dry_biomass_mg,yes
27,Board1,38.84,-117.57,gamba,seed_m,yes
27,Board1,38.84,-117.57,gamba,seed_n,yes
27,Board1,38.84,-117.57,gamba,seed1m,yes
27,Board1,38.84,-117.57,walker,shoot_dry_wt_g,no
27,Board1,38.84,-117.57,walker,shoot_leaf_area_cm2,no
27,Board1,38.84,-117.57,walker,root_dry_wt_g,no
27,Board1,38.84,-117.57,walker,root_length_cm,no
27,Board1,38.84,-117.57,walker,root_proj_area_cm2,no
27,Board1,38.84,-117.57,walker,seed_wt_g,no
27,Board1,38.84,-117.57,walker,seed_proj_area_cm2,no
27,Board1,38.84,-117.57,walker,time_to_emergence_d,no
27,Board1,38.84,-117.57,walker,plant_ht_21d_cm,no
27,Board1,38.84,-117.57,walker,plant_ht_35d_cm,no
27,Board1,38.84,-117.57,walker,leaf_no_21d,no
27,Board1,38.84,-117.57,walker,leaf_no_35d,no
27,Board1,38.84,-117.57,walker,tiller_no_35d,no
27,Board1,38.84,-117.57,davidson,phen_score,no
27,Board1,38.84,-117.57,davidson,freezing_point,no
27,Board1,38.84,-117.57,davidson,min_temp_reached,no
27,Board1,38.84,-117.57,davidson,d_fv_fm,no
27,Board1,38.84,-117.57,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,no
27,Board1,38.84,-117.57,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,no
27,Board1,38.84,-117.57,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,no
27,Board1,38.84,-117.57,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,no
27,Board1,38.84,-117.57,walker,root_length_cm_by_diam_class_mm_l_4_5,no
27,Board1,38.84,-117.57,cg_2022,first_flower,yes
27,Board1,38.84,-117.57,cg_2022,inflor_mass,yes
27,Board1,38.84,-117.57,cg_2022,veg_mass,yes
27,Board1,38.84,-117.57,cg_2022,seed_count,yes
27,Board1,38.84,-117.57,walker,root_length_cm_by_diam_class_mm_0_l_0_5,no
27,Board1,38.84,-117.57,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,no
27,Board1,38.84,-117.57,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,no
27,Board1,38.84,-117.57,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,no
27,Board1,38.84,-117.57,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,no
27,Board1,38.84,-117.57,walker,root_vol_cm3,no
27,Board1,38.84,-117.57,walker,root_no_tips,no
27,Board1,38.84,-117.57,walker,root_surf_area_cm2,no
27,Board1,38.84,-117.57,walker,root_avg_diam_mm,no
27,Board1,38.84,-117.57,walker,root_no_forks,no
27,Board1,38.84,-117.57,walker,root_no_crossings,no
28,Bradford01,35.23,-111.62,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,yes
28,Bradford01,35.23,-111.62,walker,root_length_cm_by_diam_class_mm_l_4_5,yes
28,Bradford01,35.23,-111.62,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,yes
28,Bradford01,35.23,-111.62,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
28,Bradford01,35.23,-111.62,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,yes
28,Bradford01,35.23,-111.62,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,yes
28,Bradford01,35.23,-111.62,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,yes
28,Bradford01,35.23,-111.62,gamba,leaves_n,yes
28,Bradford01,35.23,-111.62,walker,seed_wt_g,yes
28,Bradford01,35.23,-111.62,cg_2022,first_flower,yes
28,Bradford01,35.23,-111.62,cg_2022,inflor_mass,yes
28,Bradford01,35.23,-111.62,cg_2022,veg_mass,yes
28,Bradford01,35.23,-111.62,cg_2022,seed_count,yes
28,Bradford01,35.23,-111.62,gamba,seed_m,yes
28,Bradford01,35.23,-111.62,gamba,seed_n,yes
28,Bradford01,35.23,-111.62,gamba,seed1m,yes
28,Bradford01,35.23,-111.62,gamba,seedling_height_cm,yes
28,Bradford01,35.23,-111.62,gamba,adult_height_cm,yes
28,Bradford01,35.23,-111.62,gamba,spring_growth_cm,yes
28,Bradford01,35.23,-111.62,gamba,tillers_n,yes
28,Bradford01,35.23,-111.62,walker,root_surf_area_cm2,yes
28,Bradford01,35.23,-111.62,walker,root_avg_diam_mm,yes
28,Bradford01,35.23,-111.62,walker,root_vol_cm3,yes
28,Bradford01,35.23,-111.62,walker,root_no_tips,yes
28,Bradford01,35.23,-111.62,walker,root_no_forks,yes
28,Bradford01,35.23,-111.62,walker,root_no_crossings,yes
28,Bradford01,35.23,-111.62,walker,root_length_cm_by_diam_class_mm_0_l_0_5,yes
28,Bradford01,35.23,-111.62,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,yes
28,Bradford01,35.23,-111.62,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,yes
28,Bradford01,35.23,-111.62,davidson,phen_score,no
28,Bradford01,35.23,-111.62,davidson,freezing_point,no
28,Bradford01,35.23,-111.62,davidson,min_temp_reached,no
28,Bradford01,35.23,-111.62,davidson,d_fv_fm,no
28,Bradford01,35.23,-111.62,davidson,sla_m2_kg,no
28,Bradford01,35.23,-111.62,gamba,days_to_flower,yes
28,Bradford01,35.23,-111.62,gamba,inflor_height_cm,yes
28,Bradford01,35.23,-111.62,gamba,inflor_number,yes
28,Bradford01,35.23,-111.62,gamba,veg_biomass_mg,yes
28,Bradford01,35.23,-111.62,gamba,rep_biomass_mg,yes
28,Bradford01,35.23,-111.62,gamba,total_dry_biomass_mg,yes
28,Bradford01,35.23,-111.62,walker,leaf_no_21d,yes
28,Bradford01,35.23,-111.62,walker,leaf_no_35d,yes
28,Bradford01,35.23,-111.62,walker,tiller_no_35d,yes
28,Bradford01,35.23,-111.62,walker,shoot_dry_wt_g,yes
28,Bradford01,35.23,-111.62,walker,shoot_leaf_area_cm2,yes
28,Bradford01,35.23,-111.62,walker,root_dry_wt_g,yes
28,Bradford01,35.23,-111.62,walker,root_length_cm,yes
28,Bradford01,35.23,-111.62,walker,root_proj_area_cm2,yes
28,Bradford01,35.23,-111.62,walker,plant_ht_35d_cm,yes
28,Bradford01,35.23,-111.62,walker,seed_proj_area_cm2,yes
28,Bradford01,35.23,-111.62,walker,time_to_emergence_d,yes
28,Bradford01,35.23,-111.62,walker,plant_ht_21d_cm,yes
29,Chambers01,39.55,-119.58,gamba,veg_biomass_mg,yes
29,Chambers01,39.55,-119.58,davidson,phen_score,no
29,Chambers01,39.55,-119.58,davidson,freezing_point,no
29,Chambers01,39.55,-119.58,davidson,min_temp_reached,no
29,Chambers01,39.55,-119.58,davidson,d_fv_fm,no
29,Chambers01,39.55,-119.58,davidson,sla_m2_kg,no
29,Chambers01,39.55,-119.58,gamba,days_to_flower,yes
29,Chambers01,39.55,-119.58,gamba,inflor_height_cm,yes
29,Chambers01,39.55,-119.58,gamba,inflor_number,yes
29,Chambers01,39.55,-119.58,walker,time_to_emergence_d,yes
29,Chambers01,39.55,-119.58,walker,plant_ht_21d_cm,yes
29,Chambers01,39.55,-119.58,walker,plant_ht_35d_cm,yes
29,Chambers01,39.55,-119.58,walker,leaf_no_21d,yes
29,Chambers01,39.55,-119.58,walker,leaf_no_35d,yes
29,Chambers01,39.55,-119.58,walker,tiller_no_35d,yes
29,Chambers01,39.55,-119.58,walker,shoot_dry_wt_g,yes
29,Chambers01,39.55,-119.58,walker,shoot_leaf_area_cm2,yes
29,Chambers01,39.55,-119.58,walker,root_dry_wt_g,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm,yes
29,Chambers01,39.55,-119.58,walker,root_proj_area_cm2,yes
29,Chambers01,39.55,-119.58,walker,root_surf_area_cm2,yes
29,Chambers01,39.55,-119.58,walker,root_avg_diam_mm,yes
29,Chambers01,39.55,-119.58,walker,root_vol_cm3,yes
29,Chambers01,39.55,-119.58,walker,root_no_tips,yes
29,Chambers01,39.55,-119.58,walker,root_no_forks,yes
29,Chambers01,39.55,-119.58,walker,root_no_crossings,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm_by_diam_class_mm_0_l_0_5,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,yes
29,Chambers01,39.55,-119.58,walker,root_length_cm_by_diam_class_mm_l_4_5,yes
29,Chambers01,39.55,-119.58,cg_2022,first_flower,yes
29,Chambers01,39.55,-119.58,gamba,rep_biomass_mg,yes
29,Chambers01,39.55,-119.58,gamba,total_dry_biomass_mg,yes
29,Chambers01,39.55,-119.58,gamba,seed_m,yes
29,Chambers01,39.55,-119.58,gamba,seed_n,yes
29,Chambers01,39.55,-119.58,gamba,seed1m,yes
29,Chambers01,39.55,-119.58,gamba,seedling_height_cm,yes
29,Chambers01,39.55,-119.58,gamba,adult_height_cm,yes
29,Chambers01,39.55,-119.58,gamba,spring_growth_cm,yes
29,Chambers01,39.55,-119.58,gamba,tillers_n,yes
29,Chambers01,39.55,-119.58,gamba,leaves_n,yes
29,Chambers01,39.55,-119.58,walker,seed_wt_g,yes
29,Chambers01,39.55,-119.58,walker,seed_proj_area_cm2,yes
29,Chambers01,39.55,-119.58,cg_2022,inflor_mass,yes
29,Chambers01,39.55,-119.58,cg_2022,veg_mass,yes
29,Chambers01,39.55,-119.58,cg_2022,seed_count,yes
30,Chambers02,39.95,-118.76,gamba,total_dry_biomass_mg,yes
30,Chambers02,39.95,-118.76,cg_2022,inflor_mass,yes
30,Chambers02,39.95,-118.76,cg_2022,veg_mass,yes
30,Chambers02,39.95,-118.76,cg_2022,seed_count,yes
30,Chambers02,39.95,-118.76,gamba,seedling_height_cm,yes
30,Chambers02,39.95,-118.76,gamba,adult_height_cm,yes
30,Chambers02,39.95,-118.76,gamba,spring_growth_cm,yes
30,Chambers02,39.95,-118.76,gamba,tillers_n,yes
30,Chambers02,39.95,-118.76,gamba,leaves_n,yes
30,Chambers02,39.95,-118.76,walker,seed_wt_g,yes
30,Chambers02,39.95,-118.76,walker,seed_proj_area_cm2,yes
30,Chambers02,39.95,-118.76,walker,time_to_emergence_d,yes
30,Chambers02,39.95,-118.76,walker,plant_ht_21d_cm,yes
30,Chambers02,39.95,-118.76,walker,plant_ht_35d_cm,yes
30,Chambers02,39.95,-118.76,gamba,seed_m,yes
30,Chambers02,39.95,-118.76,gamba,seed_n,yes
30,Chambers02,39.95,-118.76,gamba,seed1m,yes
30,Chambers02,39.95,-118.76,walker,shoot_dry_wt_g,yes
30,Chambers02,39.95,-118.76,walker,shoot_leaf_area_cm2,yes
30,Chambers02,39.95,-118.76,walker,root_dry_wt_g,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm,yes
30,Chambers02,39.95,-118.76,walker,root_proj_area_cm2,yes
30,Chambers02,39.95,-118.76,walker,root_surf_area_cm2,yes
30,Chambers02,39.95,-118.76,walker,root_avg_diam_mm,yes
30,Chambers02,39.95,-118.76,walker,root_vol_cm3,yes
30,Chambers02,39.95,-118.76,walker,root_no_tips,yes
30,Chambers02,39.95,-118.76,walker,root_no_forks,yes
30,Chambers02,39.95,-118.76,walker,leaf_no_21d,yes
30,Chambers02,39.95,-118.76,walker,leaf_no_35d,yes
30,Chambers02,39.95,-118.76,walker,tiller_no_35d,yes
30,Chambers02,39.95,-118.76,davidson,phen_score,no
30,Chambers02,39.95,-118.76,davidson,freezing_point,no
30,Chambers02,39.95,-118.76,davidson,min_temp_reached,no
30,Chambers02,39.95,-118.76,davidson,d_fv_fm,no
30,Chambers02,39.95,-118.76,davidson,sla_m2_kg,no
30,Chambers02,39.95,-118.76,gamba,days_to_flower,yes
30,Chambers02,39.95,-118.76,gamba,inflor_height_cm,yes
30,Chambers02,39.95,-118.76,gamba,inflor_number,yes
30,Chambers02,39.95,-118.76,gamba,veg_biomass_mg,yes
30,Chambers02,39.95,-118.76,gamba,rep_biomass_mg,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,yes
30,Chambers02,39.95,-118.76,walker,root_no_crossings,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm_by_diam_class_mm_0_l_0_5,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,yes
30,Chambers02,39.95,-118.76,cg_2022,first_flower,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,yes
30,Chambers02,39.95,-118.76,walker,root_length_cm_by_diam_class_mm_l_4_5,yes
31,Urza1,40.35,-119.34,davidson,phen_score,no
31,Urza1,40.35,-119.34,gamba,seed1m,yes
31,Urza1,40.35,-119.34,davidson,freezing_point,no
31,Urza1,40.35,-119.34,davidson,min_temp_reached,no
31,Urza1,40.35,-119.34,davidson,d_fv_fm,no
31,Urza1,40.35,-119.34,davidson,sla_m2_kg,no
31,Urza1,40.35,-119.34,gamba,days_to_flower,yes
31,Urza1,40.35,-119.34,gamba,inflor_height_cm,yes
31,Urza1,40.35,-119.34,gamba,inflor_number,yes
31,Urza1,40.35,-119.34,gamba,veg_biomass_mg,yes
31,Urza1,40.35,-119.34,gamba,rep_biomass_mg,yes
31,Urza1,40.35,-119.34,gamba,total_dry_biomass_mg,yes
31,Urza1,40.35,-119.34,gamba,seed_m,yes
31,Urza1,40.35,-119.34,gamba,seed_n,yes
31,Urza1,40.35,-119.34,walker,tiller_no_35d,yes
31,Urza1,40.35,-119.34,gamba,seedling_height_cm,yes
31,Urza1,40.35,-119.34,gamba,adult_height_cm,yes
31,Urza1,40.35,-119.34,gamba,spring_growth_cm,yes
31,Urza1,40.35,-119.34,gamba,tillers_n,yes
31,Urza1,40.35,-119.34,gamba,leaves_n,yes
31,Urza1,40.35,-119.34,walker,seed_wt_g,yes
31,Urza1,40.35,-119.34,walker,seed_proj_area_cm2,yes
31,Urza1,40.35,-119.34,walker,time_to_emergence_d,yes
31,Urza1,40.35,-119.34,walker,plant_ht_21d_cm,yes
31,Urza1,40.35,-119.34,walker,plant_ht_35d_cm,yes
31,Urza1,40.35,-119.34,walker,leaf_no_21d,yes
31,Urza1,40.35,-119.34,walker,leaf_no_35d,yes
31,Urza1,40.35,-119.34,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,yes
31,Urza1,40.35,-119.34,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,yes
31,Urza1,40.35,-119.34,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,yes
31,Urza1,40.35,-119.34,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
31,Urza1,40.35,-119.34,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,yes
31,Urza1,40.35,-119.34,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,yes
31,Urza1,40.35,-119.34,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,yes
31,Urza1,40.35,-119.34,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,yes
31,Urza1,40.35,-119.34,walker,root_length_cm_by_diam_class_mm_l_4_5,yes
31,Urza1,40.35,-119.34,cg_2022,first_flower,yes
31,Urza1,40.35,-119.34,cg_2022,inflor_mass,yes
31,Urza1,40.35,-119.34,cg_2022,veg_mass,yes
31,Urza1,40.35,-119.34,cg_2022,seed_count,yes
31,Urza1,40.35,-119.34,walker,root_length_cm_by_diam_class_mm_0_l_0_5,yes
31,Urza1,40.35,-119.34,walker,root_length_cm,yes
31,Urza1,40.35,-119.34,walker,shoot_dry_wt_g,yes
31,Urza1,40.35,-119.34,walker,shoot_leaf_area_cm2,yes
31,Urza1,40.35,-119.34,walker,root_dry_wt_g,yes
31,Urza1,40.35,-119.34,walker,root_vol_cm3,yes
31,Urza1,40.35,-119.34,walker,root_proj_area_cm2,yes
31,Urza1,40.35,-119.34,walker,root_surf_area_cm2,yes
31,Urza1,40.35,-119.34,walker,root_avg_diam_mm,yes
31,Urza1,40.35,-119.34,walker,root_no_tips,yes
31,Urza1,40.35,-119.34,walker,root_no_forks,yes
31,Urza1,40.35,-119.34,walker,root_no_crossings,yes
32,Chambers04,41.31,-117.63,davidson,freezing_point,no
32,Chambers04,41.31,-117.63,davidson,phen_score,no
32,Chambers04,41.31,-117.63,gamba,seedling_height_cm,yes
32,Chambers04,41.31,-117.63,davidson,min_temp_reached,no
32,Chambers04,41.31,-117.63,davidson,d_fv_fm,no
32,Chambers04,41.31,-117.63,davidson,sla_m2_kg,no
32,Chambers04,41.31,-117.63,gamba,days_to_flower,yes
32,Chambers04,41.31,-117.63,gamba,inflor_height_cm,yes
32,Chambers04,41.31,-117.63,gamba,inflor_number,yes
32,Chambers04,41.31,-117.63,gamba,veg_biomass_mg,yes
32,Chambers04,41.31,-117.63,gamba,rep_biomass_mg,yes
32,Chambers04,41.31,-117.63,gamba,total_dry_biomass_mg,yes
32,Chambers04,41.31,-117.63,gamba,seed_m,yes
32,Chambers04,41.31,-117.63,gamba,seed_n,yes
32,Chambers04,41.31,-117.63,gamba,seed1m,yes
32,Chambers04,41.31,-117.63,walker,tiller_no_35d,yes
32,Chambers04,41.31,-117.63,walker,shoot_dry_wt_g,yes
32,Chambers04,41.31,-117.63,walker,shoot_leaf_area_cm2,yes
32,Chambers04,41.31,-117.63,walker,root_dry_wt_g,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm,yes
32,Chambers04,41.31,-117.63,walker,root_proj_area_cm2,yes
32,Chambers04,41.31,-117.63,walker,root_surf_area_cm2,yes
32,Chambers04,41.31,-117.63,walker,root_avg_diam_mm,yes
32,Chambers04,41.31,-117.63,walker,root_vol_cm3,yes
32,Chambers04,41.31,-117.63,walker,root_no_tips,yes
32,Chambers04,41.31,-117.63,walker,root_no_forks,yes
32,Chambers04,41.31,-117.63,walker,root_no_crossings,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm_by_diam_class_mm_0_l_0_5,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,yes
32,Chambers04,41.31,-117.63,walker,root_length_cm_by_diam_class_mm_l_4_5,yes
32,Chambers04,41.31,-117.63,cg_2022,first_flower,yes
32,Chambers04,41.31,-117.63,cg_2022,inflor_mass,yes
32,Chambers04,41.31,-117.63,cg_2022,veg_mass,yes
32,Chambers04,41.31,-117.63,cg_2022,seed_count,yes
32,Chambers04,41.31,-117.63,walker,leaf_no_35d,yes
32,Chambers04,41.31,-117.63,gamba,tillers_n,yes
32,Chambers04,41.31,-117.63,gamba,leaves_n,yes
32,Chambers04,41.31,-117.63,gamba,adult_height_cm,yes
32,Chambers04,41.31,-117.63,gamba,spring_growth_cm,yes
32,Chambers04,41.31,-117.63,walker,time_to_emergence_d,yes
32,Chambers04,41.31,-117.63,walker,plant_ht_21d_cm,yes
32,Chambers04,41.31,-117.63,walker,seed_wt_g,yes
32,Chambers04,41.31,-117.63,walker,seed_proj_area_cm2,yes
32,Chambers04,41.31,-117.63,walker,plant_ht_35d_cm,yes
32,Chambers04,41.31,-117.63,walker,leaf_no_21d,yes
33,Chambers05,41.54,-117.75,walker,root_length_cm_by_diam_class_mm_2_0_l_2_5,yes
33,Chambers05,41.54,-117.75,walker,root_length_cm_by_diam_class_mm_2_5_l_3_0,yes
33,Chambers05,41.54,-117.75,walker,root_length_cm_by_diam_class_mm_1_5_l_2_0,yes
33,Chambers05,41.54,-117.75,gamba,adult_height_cm,yes
33,Chambers05,41.54,-117.75,gamba,spring_growth_cm,yes
33,Chambers05,41.54,-117.75,gamba,tillers_n,yes
33,Chambers05,41.54,-117.75,gamba,leaves_n,yes
33,Chambers05,41.54,-117.75,walker,seed_wt_g,yes
33,Chambers05,41.54,-117.75,walker,seed_proj_area_cm2,yes
33,Chambers05,41.54,-117.75,walker,time_to_emergence_d,yes
33,Chambers05,41.54,-117.75,walker,plant_ht_21d_cm,yes
33,Chambers05,41.54,-117.75,walker,plant_ht_35d_cm,yes
33,Chambers05,41.54,-117.75,walker,leaf_no_21d,yes
33,Chambers05,41.54,-117.75,walker,leaf_no_35d,yes
33,Chambers05,41.54,-117.75,walker,tiller_no_35d,yes
33,Chambers05,41.54,-117.75,walker,shoot_dry_wt_g,yes
33,Chambers05,41.54,-117.75,walker,shoot_leaf_area_cm2,yes
33,Chambers05,41.54,-117.75,walker,root_dry_wt_g,yes
33,Chambers05,41.54,-117.75,walker,root_length_cm,yes
33,Chambers05,41.54,-117.75,walker,root_proj_area_cm2,yes
33,Chambers05,41.54,-117.75,walker,root_surf_area_cm2,yes
33,Chambers05,41.54,-117.75,walker,root_avg_diam_mm,yes
33,Chambers05,41.54,-117.75,walker,root_vol_cm3,yes
33,Chambers05,41.54,-117.75,walker,root_no_tips,yes
33,Chambers05,41.54,-117.75,walker,root_no_forks,yes
33,Chambers05,41.54,-117.75,walker,root_no_crossings,yes
33,Chambers05,41.54,-117.75,walker,root_length_cm_by_diam_class_mm_0_l_0_5,yes
33,Chambers05,41.54,-117.75,walker,root_length_cm_by_diam_class_mm_0_5_l_1_0,yes
33,Chambers05,41.54,-117.75,walker,root_length_cm_by_diam_class_mm_1_0_l_1_5,yes
33,Chambers05,41.54,-117.75,davidson,phen_score,no
33,Chambers05,41.54,-117.75,davidson,freezing_point,no
33,Chambers05,41.54,-117.75,davidson,min_temp_reached,no
33,Chambers05,41.54,-117.75,walker,root_length_cm_by_diam_class_mm_3_0_l_3_5,yes
33,Chambers05,41.54,-117.75,walker,root_length_cm_by_diam_class_mm_3_5_l_4_0,yes
33,Chambers05,41.54,-117.75,walker,root_length_cm_by_diam_class_mm_4_0_l_4_5,yes
33,Chambers05,41.54,-117.75,walker,root_length_cm_by_diam_class_mm_l_4_5,yes
33,Chambers05,41.54,-117.75,cg_2022,first_flower,yes
33,Chambers05,41.54,-117.75,cg_2022,inflor_mass,yes
33,Chambers05,41.54,-117.75,cg_2022,veg_mass,yes
33,Chambers05,41.54,-117.75,cg_2022,seed_count,yes
33,Chambers05,41.54,-117.75,gamba,seed_m,yes
33,Chambers05,41.54,-117.75,gamba,seed_n,yes
33,Chambers05,41.54,-117.75,gamba,seed1m,yes
33,Chambers05,41.54,-117.75,gamba,seedling_height_cm,yes
