site,block,density_long,density,albedo,source,bulkYear_final,growout_loc,,,X,Y,genotypeID,genotype_batch,top,middle,bottom
Cheyenne,2,low,lo,white,Shriver02,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,4,4,g102,102_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Adler05,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,5,4,g9,9_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Pyke 03,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,6,4,g72,72_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Pyle17,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,7,4,g81,81_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Maron1,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,8,4,g66,66_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Reed01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,9,4,g83,83_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Leger 1,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,10,4,g65,65_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Germino BOP 01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,11,4,g104,104_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Urza01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,12,4,g31,31_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Lee 01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,13,4,g61,61_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Lee 02,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,14,4,g62,62_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Adler18,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,15,4,g18,18_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Copeland05,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,16,4,g39,39_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Hufft02,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,1,5,g53,53_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Chynoweth03,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,2,5,g97,97_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Chambers05,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,3,5,g33,33_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Davies03,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,4,5,g103,103_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,AAFC04,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,5,5,g1,1_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,JackieOtt2,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,6,5,g55,55_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Mancillas01,2022,Logan,lo black Cheyenne,lo black Cheyenne 2,7,5,g151,151_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Symstad1,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,8,5,g89,89_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Chambers04,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,9,5,g32,32_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Schupp04,2021,Logan,lo black Cheyenne,lo black Cheyenne 2,10,5,g87,87_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Getts3,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,11,5,g49,49_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Downs 03,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,12,5,g44,44_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Chambers02,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,13,5,g30,30_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Chambers06,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,14,5,g34,34_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Pyle10,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,15,5,g77,77_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,2,low,lo,white,Chambers08,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,16,5,g36,36_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chambers06,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,1,1,g34,34_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,AAFC09,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,2,1,g6,6_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chambers04,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,3,1,g32,32_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chambers01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,4,1,g29,29_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Getts3,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,5,1,g49,49_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Porensky01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,6,1,g68,68_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Copeland01,2021,Logan,lo black Cheyenne,lo black Cheyenne 2,7,1,g38,38_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,JackieOtt2,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,8,1,g55,55_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Symstad3,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,1,2,g91,91_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Adler05,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,2,2,g9,9_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Adler09,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,3,2,g11,11_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Pyke 21,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,4,2,g74,74_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Leger 1,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,5,2,g65,65_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Germino BOP 01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,6,2,g104,104_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Pyke 03,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,7,2,g72,72_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Lavin01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,8,2,g59,59_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chambers05,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,1,3,g33,33_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Symstad3,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,2,3,g91,91_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Symstad6,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,3,3,g25,25_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chambers09,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,4,3,g37,37_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Pyke 08,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,5,3,g73,73_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Porensky17,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,6,3,g69,69_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Symstad1,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,7,3,g89,89_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Blumenthal08,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,8,3,g24,24_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Lee 03,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,1,4,g63,63_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,AAFC10,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,2,4,g7,7_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Symstad4,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,3,4,g92,92_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Shriver01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,4,4,g101,101_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Fleishman_01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,5,4,g45,45_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Symstad3,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,6,4,g91,91_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Downs 02,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,7,4,g43,43_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,AAFC05,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,8,4,g2,2_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chynoweth02,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,1,5,g96,96_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Wilcox02,2021,Logan,lo black Cheyenne,lo black Cheyenne 2,2,5,g95,95_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Hufft02,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,3,5,g53,53_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Mancillas01,2022,Logan,lo black Cheyenne,lo black Cheyenne 2,4,5,g151,151_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Pyle01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,5,5,g75,75_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Pyle10,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,6,5,g77,77_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Pyle19,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,7,5,g82,82_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Holdrege1,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,8,5,g51,51_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Adler18,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,1,6,g18,18_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Adler13,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,2,6,g14,14_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Pyle17,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,3,6,g81,81_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,AAFC04,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,4,6,g1,1_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Lee 01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,5,6,g61,61_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Fleishman_05,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,6,6,g46,46_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Schupp05,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,7,6,g88,88_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Lee 04,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,8,6,g64,64_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chynoweth05,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,1,7,g98,98_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,JackieOtt7,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,2,7,g58,58_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Lee 02,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,3,7,g62,62_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Reed01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,4,7,g83,83_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,AAFC08,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,5,7,g5,5_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Barnett01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,6,7,g19,19_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Symstad2,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,7,7,g90,90_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,JackieOtt6,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,8,7,g57,57_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Urza01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,1,8,g31,31_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Schupp05,2021,Logan,lo black Cheyenne,lo black Cheyenne 2,2,8,g88,88_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chynoweth08,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,3,8,g100,100_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Hufft01,2020,Reno,lo black Cheyenne,lo black Cheyenne 2,4,8,g52,52_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Davies03,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,5,8,g103,103_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Bradford01,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,6,8,g28,28_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Downs 03,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,7,8,g44,44_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Fleishman_07,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,8,8,g47,47_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Copeland05,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,1,9,g39,39_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,JackieOtt5,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,2,9,g56,56_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Reed03,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,3,9,g84,84_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Urza02,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,4,9,g93,93_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chynoweth03,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,5,9,g97,97_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Shriver02,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,6,9,g102,102_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chambers02,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,7,9,g30,30_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Porensky30,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,8,9,g71,71_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Pyle09,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,1,10,g76,76_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Maron1,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,2,10,g66,66_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Chambers07,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,3,10,g35,35_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Pyle15,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,4,10,g79,79_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Schupp04,2021,Logan,lo white Cheyenne,lo white Cheyenne 2,5,10,g87,87_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Downs 01,2021,Logan,lo white Cheyenne,lo white Cheyenne 2,6,10,g42,42_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Schupp02,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,7,10,g12,12_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,black,Blumenthal01,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,8,10,g8,8_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Reed03,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,1,1,g84,84_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Pyke 08,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,2,1,g73,73_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,AAFC10,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,3,1,g7,7_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Bradford01,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,4,1,g28,28_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Leger 1,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,5,1,g65,65_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Pyke 03,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,6,1,g72,72_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Lee 03,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,7,1,g63,63_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Adler18,2022,Logan,lo white Cheyenne,lo white Cheyenne 2,8,1,g18,18_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Chambers07,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,1,2,g35,35_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Fleishman_07,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,2,2,g47,47_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Barnett01,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,3,2,g19,19_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,AAFC05,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,4,2,g2,2_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Germino BOP 01,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,5,2,g104,104_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Fleishman_05,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,6,2,g46,46_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Lee 04,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,7,2,g64,64_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Urza02,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,8,2,g93,93_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Symstad4,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,1,3,g92,92_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Hufft02,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,2,3,g53,53_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,AAFC09,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,3,3,g6,6_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Chynoweth08,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,4,3,g100,100_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Chambers02,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,5,3,g30,30_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,JackieOtt6,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,6,3,g57,57_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Mancillas01,2022,Logan,lo white Cheyenne,lo white Cheyenne 2,7,3,g151,151_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Schupp04,2021,Logan,lo white Cheyenne,lo white Cheyenne 2,8,3,g87,87_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Pyle15,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,1,4,g79,79_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Symstad3,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,2,4,g91,91_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Holdrege1,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,3,4,g51,51_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Pyle09,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,4,4,g76,76_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Chynoweth03,2021,Logan,lo white Cheyenne,lo white Cheyenne 2,5,4,g97,97_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Getts3,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,6,4,g49,49_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Maron1,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,7,4,g66,66_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Copeland05,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,8,4,g39,39_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Porensky17,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,1,5,g69,69_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,JackieOtt7,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,2,5,g58,58_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Schupp05,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,3,5,g88,88_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Adler13,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,4,5,g14,14_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,AAFC04,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,5,5,g1,1_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Lavin01,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,6,5,g59,59_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Porensky01,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,7,5,g68,68_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Schupp02,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,8,5,g12,12_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Chambers04,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,1,6,g32,32_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Symstad6,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,2,6,g25,25_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Chambers05,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,3,6,g33,33_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Reed01,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,4,6,g83,83_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Downs 01,2021,Logan,lo white Cheyenne,lo white Cheyenne 2,5,6,g42,42_Logan,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Lee 01,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,6,6,g61,61_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Symstad2,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,7,6,g90,90_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Pyle10,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,8,6,g77,77_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Pyke 21,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,1,7,g74,74_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Chambers02,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,2,7,g30,30_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Chambers08,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,3,7,g36,36_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Downs 03,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,4,7,g44,44_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Chynoweth02,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,5,7,g96,96_Reno,#ERROR!,#ERROR!,#ERROR!
Cheyenne,3,high,hi,white,Schupp04,2020,Reno,lo white Cheyenne,lo white Cheyenne 2,6,7,g87,87_Reno,#ERROR!,#ERROR!,#ERROR!
