Site,Date,Last Harvest Date,# of Harvests,Recorder,Block,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,tillers,biomass_whole,seed_count_whole,seed_mass_whole,inflor_mass,biomass_sub,seed_count_sub,seed_mass_sub,drop_seed,notes,
SheepStation,,,,,,17,high,black,10,7,30,Re,Chambers02,39.95,-118.76,Y,,,0,,,,,,,,,,,
SheepStation,6/29/2022,,,,,17,high,black,10,8,42,Re,Downs01,46.38145,-119.430272,Y,FP,8,80,1,0.02,,,0.03,0.007,9,0.03,N,,
SheepStation,7/6/2022,,,,,17,high,black,10,9,53,Re,Hufft2,39.547444,-105.102111,Y,FG_FP,21.8,218,3,0.21,,,0.38,0.02,50,0.13,N,,
SheepStation,7/6/2022,,,,,17,high,black,10,10,52,Re,Hufft1,38.6701,-108.3286,Y,FP,14.5,145,1,0.02,,,0.02,0.006,10,0.01,N,,
SheepStation,7/7/2022,,,,,18,low,black,1,1,102,Re,Shriver02,48,-114.04,Y,FP,34.5,345,7,1.6,,,1.62,0.03,50,0.14,Y,,
SheepStation,7/7/2022,,,,,18,low,black,1,2,66,Re,Maron1,46.68,-114.03,Y,FP_FG,35,350,6,1.13,,,2.16,0.02,50,0.11,N,,
SheepStation,,,,,,18,low,black,1,3,86,Re,Schupp03,38.6,-113.79,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,1,4,47,Re,Fleishman_07,39.17,-117.44,Y,FP,9.5,95,1,0.01,,,0.002,0.0002,1,0.0018,Y,,
SheepStation,7/7/2022,,,,,18,low,black,1,5,26,Re,Chynoweth01,39.76604,-109.5635,Y,FG_FP,36,360,16,2.09,,,3.05,0.02,50,0.12,N,2/50 unripe,
SheepStation,7/7/2022,,,,,18,low,black,2,1,28,Re,Bradford01,35.23,-111.62,Y,FG_FP_D,26.5,265,6,0.51,,,0.47,0.03,50,0.13,N,Broken tiller,
SheepStation,7/7/2022,,,NP,,18,low,black,2,2,89,Re,Symstad1,44.59,-104.71,Y,FG_FP,32.5,325,12,2.82,,,4.36,0.04,50,0.1,N,,
SheepStation,7/7/2022,,,,,18,low,black,2,3,46,Re,Fleishman_05,39.12,-117.27,Y,FG_FP,28.2,282,4,0.75,,,0.99,0.02,50,0.12,N,,
SheepStation,,,,,,18,low,black,2,4,35,Re,Chambers07,43.94,-116.19,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,LB,,18,low,black,2,5,6,Re,AAFC09,49.62,-119.8,Y,FG_FP,30.8,308,9,2.61,,,3.06,0.02,50,0.09,N,1/50 unripe,
SheepStation,7/7/2022,,,,,18,low,black,3,1,74,Re,Pyke21,47.61803776,-119.6830115,Y,FP,23.8,238,4,0.38,,,0.27,0.02,50,0.12,Y,,
SheepStation,7/7/2022,,,,,18,low,black,3,2,18,Re,Adler18,40.86,-114.22,Y,FG_FP,24.6,246,4,0.32,,,0.51,0.04,50,0.11,N,,
SheepStation,,,,,,18,low,black,3,3,65,Re,Leger1,39.49,-119.84,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,3,4,79,Re,Pyle015,43.8,-119,Y,FG_D,27.2,272,6,0.52,,,0.45,0.02,50,0.06,N,,
SheepStation,6/28/2022,,,,,18,low,black,3,5,32,Re,Chambers04,41.31,-117.63,Y,FP_D,11.4,114,1,0.06,,,0.06,0.02,31,0.04,N,,
SheepStation,7/7/2022,,,,,18,low,black,4,1,52,Re,Hufft1,38.6701,-108.3286,Y,FP,26.5,265,3,0.22,,,0.43,0.03,50,0.12,N,,
SheepStation,7/7/2022,,,,,18,low,black,4,2,69,Re,Porensky17,43.34,-105.13,Y,FP,27.5,275,4,0.48,,,0.85,0.04,50,0.11,N,,
SheepStation,7/7/2022,,,RM,,18,low,black,4,3,45,Re,Fleishman_01,38.47,-119.49,Y,FP_FG,34.7,347,13,2.62,,,3.6,0.02,50,0.12,N,BROKEN TILLER,
SheepStation,7/7/2022,,,,,18,low,black,4,4,8,Re,Blumenthal01,41.18,-104.9,Y,FP,23.5,235,3,0.26,,,0.47,0.03,50,0.12,N,,
SheepStation,,,,,,18,low,black,4,5,59,Re,Lavin01,44.68,-109.07,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,5,1,96,Re,Chynoweth02,40.29092,-109.68361,Y,FG_FP,20.5,205,9,0.95,,,1.49,0.04,50,0.12,N,,
SheepStation,7/7/2022,,,,,18,low,black,5,2,87,Re,Schupp04,38.52,-113.55,Y,FP,30.6,306,4,0.44,,,0.49,0.04,50,0.11,N,,
SheepStation,7/7/2022,,,NP,,18,low,black,5,3,9,Re,Adler05,40.79,-111.87,Y,FG_FP,34,340,20,3.68,,,6.61,0.03,50,0.14,N,1/50 unripe ,
SheepStation,6/30/2022,,,,,18,low,black,5,4,30,Re,Chambers02,39.95,-118.76,Y,FP,19,190,3,0.37,,,0.46,0.03,50,0.1,N,,
SheepStation,7/7/2022,,,,,18,low,black,5,5,92,Re,Symstad4,43.71,-102.58,Y,FP,30.6,306,4,0.61,,,1.08,0.02,50,0.12,N,,
SheepStation,7/7/2022,,,LB,,18,low,black,6,1,7,Re,AAFC10,49.71,-120.05,Y,FG_FP,31.4,314,11,1.75,,,2.33,0.03,50,0.09,N,0/50 unripe,
SheepStation,6/28/2022,,,,,18,low,black,6,2,101,Re,Shriver01,34.06,-116.22,Y,FG_FP,18,180,9,0.58,,,1.54,0.11,50,0.17,N,,
SheepStation,7/7/2022,,,RM,,18,low,black,6,3,65,Re,Leger1,39.49,-119.84,Y,FP_FG,30.6,306,11,1.92,,,1.19,0.02,50,0.14,N,BROKEN TILLER,
SheepStation,7/7/2022,,,,,18,low,black,6,4,11,Re,Adler09,43.31,-112.27,Y,FG_FP,24.7,247,7,0.95,,,0.93,0.03,50,0.1,N,,
SheepStation,7/7/2022,,,,,18,low,black,6,5,64,Re,Lee4,35.4564,-115.52,Y,FP,30.8,308,3,0.39,,,0.62,0.03,50,0.11,N,,
SheepStation,7/7/2022,,,,,18,low,black,7,1,62,Re,Lee2,35.3984,-115.7845,Y,FP,25.9,259,3,0.23,,,0.2,0.05,50,0.15,N,,
SheepStation,7/7/2022,,,,,18,low,black,7,2,72,Re,Pyke3,44.60456358,-120.1924183,Y,FP_FG,24.7,247,6,0.79,,,0.87,0.05,50,0.15,N,,
SheepStation,7/7/2022,,,,,18,low,black,7,3,66,Re,Maron1,46.68,-114.03,Y,FP_FG,30.1,301,5,0.54,,,0.88,0.33,50,0.09,N,,
SheepStation,7/7/2022,,,LB,,18,low,black,7,4,58,Re,JackieOtt7,43.82,-101.94,Y,FG_FP,30.7,307,7,1.15,,,1.67,0.04,50,0.12,N,0/50 unripe,
SheepStation,7/7/2022,,,,,18,low,black,7,5,68,Re,Porensky1,43.24,-105.18,Y,FG_FP,30.2,302,8,1.45,,,2.9,0.02,50,0.11,N,,
SheepStation,7/7/2022,,,,,18,low,black,8,1,37,Re,Chambers09,40.66,-116.73,Y,FP_FG,31,310,4,0.72,,,1.53,0.02,50,0.14,N,,
SheepStation,7/7/2022,,,,,18,low,black,8,2,2,Re,AAFC05,50.09,-120.45,Y,FG,31,310,11,1.73,,,1.2,0.01,50,0.06,N,,
SheepStation,7/7/2022,,,,,18,low,black,8,3,95,Re,Wilcox02,41.31,-105.66,Y,FP_FG,25,250,8,0.82,,,1.81,0.03,50,0.12,N,,
SheepStation,,,,,,18,low,black,8,4,60,Lo,Lavin02,45.67,-111.03,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,18,low,black,8,5,34,Re,Chambers06,41.54,-117.78,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,9,1,103,Re,Davies03,42.68,-118.68,Y,FP_FG,20.9,209,2,0.15,,,0.18,0.02,50,0.13,N,,
SheepStation,6/28/2022,,,,,18,low,black,9,2,61,Re,Lee1,36.82340833,-116.0163889,Y,FG_FP,28.4,284,14,2.03,,,3.11,0.03,50,0.1,N,,
SheepStation,7/7/2022,,,,,18,low,black,9,3,54,Re,JackieOtt1,43.65,-102.97,Y,FP_FG,29.4,294,5,0.81,,,1.44,0.02,50,0.12,N,,
SheepStation,6/28/2022,,,,,18,low,black,9,4,64,Re,Lee4,35.4564,-115.52,Y,FG_FP,15.5,155,7,0.2,,,0.6,0.06,50,0.14,N,,
SheepStation,6/28/2022,,,,,18,low,black,9,5,29,Re,Chambers01,39.55,-119.58,Y,FG_FP,20.1,201,17,1.23,,,1.98,0.04,50,0.1,N,,
SheepStation,7/7/2022,,,,,18,low,black,10,1,17,Re,Adler17,41.44,-110.11,Y,FP_FG,21.2,212,2,0.22,,,0.45,0.02,50,0.13,N,,
SheepStation,7/13/2022,,,,,18,low,black,10,2,105,Re,Blumenthal10,40.92,-102.52,Y,FP ,15,150,1,0.03,,,0.03,0.01,10,0.02,N,,
SheepStation,,,,,,18,low,black,10,3,58,Re,JackieOtt7,43.82,-101.94,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/13/2022,,,,,18,low,black,10,4,68,Re,Porensky1,43.24,-105.18,Y,FG_FP,24.5,245,5,0.6,,,1.19,0.02,50,0.1,N,,
SheepStation,7/7/2022,,,RM,,18,low,black,10,5,79,Re,Pyle015,43.8,-119,Y,FP_FG,30,300,9,2.05,,,3.23,0.02,50,0.09,N,,
SheepStation,7/7/2022,,,CS,,18,low,black,11,1,91,Re,Symstad3,43.62,-103.47,Y,FG_FP,34,340,11,1.55,,,2.3,0.03,50,0.1,N,"2/50 UNRIPE, DEAD",
SheepStation,,,,,,18,low,black,11,2,97,Re,Chynoweth03,39.83576,-109.61202,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,18,low,black,11,3,53,Re,Hufft2,39.547444,-105.102111,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,11,4,90,Re,Symstad2,43.87,-103.46,Y,FG_FP,29.5,295,7,1.28,,,1.89,0.03,50,0.11,N,,
SheepStation,7/7/2022,,,NP,,18,low,black,11,5,73,Re,Pyke8,46.74830998,-119.361636,Y,FG_FP,35,350,7,1.08,,,2,0.04,50,0.11,N,1/50 unripe seeds,
SheepStation,7/7/2022,,,,,18,low,black,12,1,82,Re,Pyle019,44.57,-119.65,Y,FG_FP,30.3,303,7,1.05,,,1.67,0.02,50,0.11,N,,
SheepStation,,,,,,18,low,black,12,2,49,Re,Getts3,40.43,-120.67,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,18,low,black,12,3,98,Lo,Chynoweth05,40.480805,-109.438229,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,12,4,39,Re,Copeland05,42.27,-118.71,Y,FG_FP,25.2,252,9,0.93,,,1.08,0.03,50,0.12,N,,
SheepStation,7/7/2022,,,,,18,low,black,12,5,77,Re,Pyle010,43.19,-120,Y,FG_FP,31.5,315,8,1.29,,,2.41,0.02,50,0.12,N,,
SheepStation,,,,,,18,low,black,13,1,83,Re,Reed01,38.52,-109.47,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,18,low,black,13,2,100,Re,Chynoweth08,40.640878,-109.48689,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,13,3,51,Re,Holdrege1,41.61,-111.57,Y,FG_FP,31,310,8,0.99,,,1.28,0.02,50,0.11,N,,
SheepStation,6/30/2022,,,,,18,low,black,13,4,32,Re,Chambers04,41.31,-117.63,Y,FG_FP,32.5,325,12,2.34,,,4.09,0.03,50,0.11,N,,
SheepStation,7/7/2022,,,,,18,low,black,13,5,68,Re,Porensky1,43.24,-105.18,Y,FP,28,280,3,0.66,,,1.15,0.02,50,0.12,N,Broken tiller,
SheepStation,7/7/2022,,,,,18,low,black,14,1,71,Re,Porensky30,40.63,-105.27,Y,FG_FP,36.5,365,8,1.92,,,2.41,0.03,50,0.1,N,,
SheepStation,,,,,,18,low,black,14,2,91,Re,Symstad3,43.62,-103.47,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,18,low,black,14,3,14,Re,Adler13,41.44,-111.08,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,18,low,black,14,4,36,Re,Chambers08,42.24,-114.57,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,18,low,black,14,5,61,Re,Lee1,36.82340833,-116.0163889,Y,,,0,,,,,,,,,,,
SheepStation,,,,,,18,low,black,15,1,38,Lo,Copeland01,43.7,-117.33,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,15,2,84,Re,Reed03,38.75,-109.79,Y,FG_FP,18,180,4,0.29,,,0.59,0.03,50,0.11,N,,
SheepStation,7/7/2022,,,,,18,low,black,15,3,72,Re,Pyke3,44.60456358,-120.1924183,Y,FG_FP,40,400,21,3.02,,,4.02,0.03,50,0.12,N,4/50 unripe,
SheepStation,7/7/2022,,,,,18,low,black,15,4,42,Lo,Downs01,46.38145,-119.430272,Y,FG_FP,25,250,9,1.13,,,1.52,0.02,50,0.14,N,,
SheepStation,7/7/2022,,,,,18,low,black,15,5,25,Re,Symstad6,41.83,-103.71,Y,FG_FP,23.8,238,3,0.38,,,0.62,0.03,50,0.12,N,,
SheepStation,7/7/2022,,,,,18,low,black,16,1,88,Lo,Schupp05,39.11,-112.74,Y,FP,21.4,214,2,0.11,,,0.13,0.01,50,0.11,N,,
SheepStation,,,,,,18,low,black,16,2,1,Re,AAFC04,50.08,-120.65,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,16,3,56,Re,JackieOtt5,43.78,-102.61,Y,FG_FP_D,35.5,355,8,0.89,,,2.23,0.04,50,0.12,N,,
SheepStation,,,,,,18,low,black,16,4,52,Re,Hufft1,38.6701,-108.3286,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,18,low,black,16,5,33,Re,Chambers05,41.54,-117.75,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,17,1,103,Re,Davies03,42.68,-118.68,Y,FP,19.6,196,2,0.16,,,0.26,0.02,50,0.13,N,Boot,
SheepStation,6/30/2022,,,,,18,low,black,17,2,63,Re,Lee3,36.5247,-115.8987,Y,FG_FP,18.7,187,4,0.35,,,0.66,0.03,50,0.11,N,,
SheepStation,7/7/2022,,,,,18,low,black,17,3,93,Re,Uzra2,40.84,-119.56,Y,FP,23.6,236,2,0.25,,,0.32,0.04,50,0.13,N,,
SheepStation,7/7/2022,,,,,18,low,black,17,4,76,Re,Pyle009,43.42,-119.62,Y,FG_FP,29,290,3,0.39,,,0.92,0.02,50,0.11,N,,
SheepStation,7/7/2022,,,,,18,low,black,17,5,81,Re,Pyle017,44.36,-118.93,Y,FG_FP,40,400,8,1.54,,,1.33,0.03,50,0.08,N,4/50 unripe seeds,
SheepStation,7/7/2022,,,,,18,low,black,18,1,44,Re,Downs03,45.9663,-120.3671,Y,FG_FP,27.5,275,7,0.44,,,0.81,0.03,50,0.11,N,,
SheepStation,7/7/2022,,,CS,,18,low,black,18,2,57,Re,JackieOtt6,43.84,-101.94,Y,FP,32,320,6,1.78,,,3.49,0.03,50,0.12,N,0/50 UNRIPE,
SheepStation,7/7/2022,,,,,18,low,black,18,3,25,Re,Symstad6,41.83,-103.71,Y,FG_FP,33,330,5,1.4,,,2.79,0.03,50,0.12,N,,
SheepStation,,,,,,18,low,black,18,4,75,Re,Pyle001,42.35,-118.65,N,NA,NA,NA,,,,,,,,,,,
SheepStation,,,,,,18,low,black,18,5,31,Re,Uzra1,40.35,-119.34,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/7/2022,,,,,18,low,black,19,1,5,Re,AAFC08,49.57,-120.55,Y,FG_FP,31,310,6,0.71,,,1.27,0.03,50,0.1,N,,
SheepStation,7/7/2022,,,LB,,18,low,black,19,2,104,Re,Germino_BOP_01,43.4720833,-116.2338306,Y,FP,33,330,11,2.69,,,3.85,0.06,50,0.15,N,0/50 unripe,
SheepStation,7/7/2022,,,,,18,low,black,19,3,19,Re,Barnett01,43.48,-110.74,Y,FG_FP,26.5,265,10,0.94,,,1.52,0.05,50,0.13,N,,
SheepStation,6/30/2022,,,,,18,low,black,19,4,43,Re,Downs02,46.25045,-119.53334,Y,FG_FP,27.8,278,11,1.66,,,3.32,0.04,50,0.15,N,,
SheepStation,7/7/2022,,,,,18,low,black,19,5,19,Re,Barnett01,43.48,-110.74,Y,FP_FG,25.9,259,5,0.64,,,0.68,0.03,50,0.15,N,,
SheepStation,7/7/2022,,,RM,,18,low,black,20,1,66,Re,Maron1,46.68,-114.03,Y,FP_FG,40,400,12,2.33,,,4,0.02,50,0.1,N,1/50 UNRIPE,
SheepStation,7/7/2022,,,,,18,low,black,20,2,24,Re,Blumenthal08,40.64,-104.56,Y,FG_FP,42,420,8,1.77,,,2.68,0.03,50,0.13,N,,
SheepStation,7/7/2022,,,,,18,low,black,20,3,12,Re,Schupp02,40.2,-112.46,Y,FG_FP,32,320,6,1.13,,,1.96,0.04,50,0.13,N,,
SheepStation,7/7/2022,,,,,18,low,black,20,4,55,Re,JackieOtt2,43.71,-102.32,Y,FP,23.7,237,3,0.22,,,0.33,0.02,50,0.11,N,,
SheepStation,7/7/2022,,,,,18,low,black,20,5,13,Lo,Schupp01,39.85,-112.15,Y,FP_FG,29.9,299,2,0.35,,,0.67,0.01,50,0.13,N,,
SheepStation,7/11/2022,,,,,19,high,white,1,1,54,Re,JackieOtt1,43.65,-102.97,Y,FP,23.8,238,3,0.15,,,0.23,0.02,50,0.12,N,,
SheepStation,7/11/2022,,,,,19,high,white,1,2,102,Re,Shriver02,48,-114.04,Y,FP,9,90,1,0.04,,,0.03,0,10,0.03,Y,,
SheepStation,7/11/2022,,,,,19,high,white,1,3,37,Re,Chambers09,40.66,-116.73,Y,FP,14.5,145,1,0.03,,,0.01,0,5,0.01,Y,,
SheepStation,7/11/2022,,,,,19,high,white,1,4,46,Re,Fleishman_05,39.12,-117.27,Y,FP,15.6,156,1,0.02,,,0.02,0,7,0.02,Y,,
SheepStation,7/11/2022,,,,,19,high,white,1,5,52,Re,Hufft1,38.6701,-108.3286,Y,FP,8.6,86,1,0.01,,,0.03,0.002,10,0.02,N,,
SheepStation,7/11/2022,,,,,19,high,white,1,6,30,Re,Chambers02,39.95,-118.76,Y,FP,10,100,1,0.02,,,0.01,0.004,4,0.008,Y,,
SheepStation,7/11/2022,,,,,19,high,white,1,7,79,Re,Pyle015,43.8,-119,Y,FP,9.5,95,1,0.01,,,0.02,0.004,8,0.01,N,,
SheepStation,7/11/2022,,,,,19,high,white,1,8,59,Re,Lavin01,44.68,-109.07,Y,FG_FP,10.4,104,1,0.03,,,0.03,0.004,12,0.03,N,,
SheepStation,,,,,,19,high,white,1,9,17,Re,Adler17,41.44,-110.11,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,19,high,white,1,10,103,Re,Davies03,42.68,-118.68,Y,FP,22.1,221,2,0.23,,,0.42,0.02,50,0.11,N,,
SheepStation,7/11/2022,,,,,19,high,white,2,1,97,Lo,Chynoweth03,39.83576,-109.61202,Y,FP,12.2,122,1,0.04,,,0.05,0.0005,18,0.05,Y,,
SheepStation,,,,,,19,high,white,2,2,38,Lo,Copeland01,43.7,-117.33,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,19,high,white,2,3,82,Re,Pyle019,44.57,-119.65,Y,FP,14,140,2,0.11,,,0.02,0,9,0.02,Y,,
SheepStation,7/11/2022,,,,,19,high,white,2,4,74,Re,Pyke21,47.61803776,-119.6830115,Y,FP,22.1,221,1,0.11,,,0.11,0.003,38,0.1,N,,
SheepStation,7/11/2022,,,,,19,high,white,2,5,95,Re,Wilcox02,41.31,-105.66,Y,FP,9.2,92,1,0.01,,,0.002,0,1,0.002,Y,,
SheepStation,7/11/2022,,,,,19,high,white,2,6,93,Re,Uzra2,40.84,-119.56,Y,FP_BS,8.1,81,1,0.02,,,0.04,0.003,9,0.03,N,,
SheepStation,7/11/2022,,,,,19,high,white,2,7,53,Re,Hufft2,39.547444,-105.102111,Y,FP,16.4,164,1,0.09,,,0.11,0.006,37,0.1,N,,
SheepStation,7/11/2022,,,,,19,high,white,2,8,73,Re,Pyke8,46.74830998,-119.361636,Y,FP,10.8,108,1,0.01,,,0.01,0.0001,6,0.01,Y,,
SheepStation,7/13/2022,,,,,19,high,white,2,9,92,Re,Symstad4,43.71,-102.58,Y,FG,12,120,2,0.04,,,0.05,0.005,30,0.04,N,ALL FLOWERS DIED,
SheepStation,7/11/2022,,,,,19,high,white,2,10,33,Re,Chambers05,41.54,-117.75,Y,FP,19.5,195,1,0.06,,,0.08,0.007,22,0.07,N,,
SheepStation,7/11/2022,,,,,19,high,white,3,1,60,Re,Lavin02,45.67,-111.03,Y,FG_FP,23.4,234,3,0.19,,,0.37,0.02,50,0.12,N,,
SheepStation,7/11/2022,,,,,19,high,white,3,2,91,Re,Symstad3,43.62,-103.47,Y,FP,21.2,212,4,0.26,,,0.29,0.04,50,0.11,N,,
SheepStation,,,,,,19,high,white,3,3,35,Re,Chambers07,43.94,-116.19,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,19,high,white,3,4,58,Re,JackieOtt7,43.82,-101.94,Y,FP,16.5,165,1,0.08,,,0.19,0.03,50,0.14,N,,
SheepStation,7/11/2022,,,,,19,high,white,3,5,43,Re,Downs02,46.25045,-119.53334,Y,FG_FP,11,110,2,0.03,,,0.04,0.01,12,0.03,Y,,
SheepStation,7/11/2022,,,,,19,high,white,3,6,31,Re,Uzra1,40.35,-119.34,Y,FP,9.2,92,1,0.01,,,0.01,0,5,0.01,N,,
SheepStation,7/11/2022,,,,,19,high,white,3,7,61,Re,Lee1,36.82340833,-116.0163889,Y,FP,18.7,187,1,0.05,,,0.02,0.01,3,0.01,Y,,
SheepStation,7/11/2022,,,,,19,high,white,3,8,8,Re,Blumenthal01,41.18,-104.9,Y,FP,19.1,191,1,0.05,,,0.05,0.02,10,0.03,Y,,
SheepStation,7/11/2022,,,,,19,high,white,3,9,101,Re,Shriver01,34.06,-116.22,Y,FP,19.1,191,2,0.06,,,0.1,0.02,34,0.07,N,,
SheepStation,7/11/2022,,,,,19,high,white,3,10,86,Lo,Schupp03,38.6,-113.79,Y,FP,7.6,76,1,0.01,,,0.01,0,2,0.01,N,TOP TOOTHPICK BROKE,
SheepStation,7/11/2022,,,,,19,high,white,4,1,62,Re,Lee2,35.3984,-115.7845,Y,FP,15.2,152,3,0.12,,,0.14,0.04,30,0.1,Y,,
SheepStation,7/11/2022,,,,,19,high,white,4,2,32,Re,Chambers04,41.31,-117.63,Y,FP,11,110,2,0.02,,,0.05,0.01,16,0.04,Y,,
SheepStation,7/11/2022,,,,,19,high,white,4,3,77,Re,Pyle010,43.19,-120,Y,FP,15.4,154,1,0.05,,,0.05,0.02,12,0.03,N,,
SheepStation,7/11/2022,,,,,19,high,white,4,4,64,Re,Lee4,35.4564,-115.52,Y,UNK,5.6,56,1,0,,,0,0,0,0,N,TILLER BROKE,
SheepStation,7/11/2022,,,,,19,high,white,4,5,69,Re,Porensky17,43.34,-105.13,Y,FP,16.2,162,1,0.01,,,0.01,0,3,0.01,Y,,
SheepStation,7/11/2022,,,,,19,high,white,4,6,12,Re,Schupp02,40.2,-112.46,Y,FP,14.3,143,1,0.04,,,0.03,0.01,7,0.02,Y,,
SheepStation,7/11/2022,,,,,19,high,white,4,7,104,Re,Germino_BOP_01,43.4720833,-116.2338306,Y,FP,9,90,1,0.01,,,0.01,0,4,0.01,Y,,
SheepStation,7/11/2022,,,,,19,high,white,4,8,1,Re,AAFC04,50.08,-120.65,Y,FP,11.4,114,1,0.03,,,0.04,0.01,20,0.05,N,,
SheepStation,7/11/2022,,,,,19,high,white,4,9,28,Re,Bradford01,35.23,-111.62,Y,FG_FP,13,130,2,0.06,,,0.12,0.02,34,0.1,Y,,
SheepStation,,,,,,19,high,white,4,10,36,Re,Chambers08,42.24,-114.57,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,19,high,white,5,1,66,Re,Maron1,46.68,-114.03,Y,UNK,8.5,85,1,0.01,,,0,0,0,0,N,TILLER BROKE,
SheepStation,7/11/2022,,,,,19,high,white,5,2,68,Re,Porensky1,43.24,-105.18,Y,FP,16,160,1,0.01,,,0.01,0,3,0.01,Y,,
SheepStation,7/11/2022,,,,,19,high,white,5,3,105,Re,Blumenthal10,40.92,-102.52,Y,FP,7,70,1,0.01,,,0,0,1,0,,,
SheepStation,,,,,,19,high,white,5,4,83,Re,Reed01,38.52,-109.47,N,NA,NA,NA,,,,,,,,,,,
SheepStation,7/11/2022,,,,,19,high,white,5,5,103,Re,Davies03,42.68,-118.68,Y,FP,11,110,1,0.03,,,0.02,0.01,4,0.01,Y,,
SheepStation,7/11/2022,,,,,19,high,white,5,6,13,Re,Schupp01,39.85,-112.15,Y,FP,5.5,55,1,0.005,,,0.006,0.001,2,0.005,Y,,
SheepStation,7/11/2022,,,,,19,high,white,5,7,90,Re,Symstad2,43.87,-103.46,Y,FP,10.3,103,1,0.01,,,0.02,0.004,8,0.02,N,,
SheepStation,7/11/2022,,,,,19,high,white,5,8,32,Re,Chambers04,41.31,-117.63,Y,FP,14.7,147,1,0.03,,,0.03,0,14,0.03,N,,
SheepStation,7/11/2022,,,,,19,high,white,5,9,71,Re,Porensky30,40.63,-105.27,Y,FP,21,210,1,0.08,,,0.17,0.02,50,0.14,N,,
SheepStation,7/11/2022,,,,,19,high,white,5,10,61,Re,Lee1,36.82340833,-116.0163889,Y,FG_FP_BS,23.3,233,3,0.24,,,0.51,0.04,50,0.13,N,,
SheepStation,7/11/2022,,,,,19,high,white,6,1,88,Re,Schupp05,39.11,-112.74,Y,FP,13,130,2,0.06,,,0.08,0.005,29,0.07,N,,
SheepStation,7/11/2022,,,,,19,high,white,6,2,98,Lo,Chynoweth05,40.480805,-109.438229,Y,FP,19.3,193,1,0.08,,,0.06,0,19,0.06,Y,,
SheepStation,7/11/2022,,,,,19,high,white,6,3,39,Re,Copeland05,42.27,-118.71,Y,FP,10.5,105,1,0.02,,,0.01,0,5,0.01,Y,,
SheepStation,,,,,,19,high,white,6,4,76,Re,Pyle009,43.42,-119.62,Y,,,0,,,,,,,,,,,
SheepStation,7/11/2022,,,,,19,high,white,6,5,14,Re,Adler13,41.44,-111.08,Y,FP,11.6,116,1,0.02,,,0.02,0,7,0.02,Y,,
SheepStation,7/11/2022,,,,,19,high,white,6,6,6,Re,AAFC09,49.62,-119.8,Y,FP,11.5,115,1,0.02,,,0.02,0.003,8,0.02,N,,
SheepStation,7/11/2022,,,,,19,high,white,6,7,89,Re,Symstad1,44.59,-104.71,Y,FP,11,110,1,0.05,,,0.08,0,32,0.08,N,,
SheepStation,7/11/2022,,,,,19,high,white,6,8,75,Re,Pyle001,42.35,-118.65,Y,FP,29.9,299,2,0.13,,,0.11,0.001,36,0.1,Y,,
SheepStation,7/11/2022,,,,,19,high,white,6,9,56,Re,JackieOtt5,43.78,-102.61,Y,FP,7.5,75,1,0.02,,,0.002,0,1,0.002,Y,,
SheepStation,,,,,,19,high,white,6,10,79,Re,Pyle015,43.8,-119,Y,,,0,,,,,,,,,,,
SheepStation,7/11/2022,,,,,19,high,white,7,1,26,Re,Chynoweth01,39.76604,-109.5635,Y,FP,10.7,107,1,0.05,,,0.06,0.003,19,0.06,Y,,
SheepStation,7/11/2022,,,,,19,high,white,7,2,68,Re,Porensky1,43.24,-105.18,Y,FP,6.3,63,1,0.007,,,0.004,0.001,1,0.002,N,,
