SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Species,Cover,Litter depth (cm),Notes,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.1,Bare,45,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.3,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.3,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.3,Poa secunda,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.3,Rock,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.3,Litter,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.3,Bare,25,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.3,Biocrust late,55,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.5,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.5,Draba verna,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.5,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.5,Litter,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.5,Rock,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.5,Bare,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.5,Biocrust late,60,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.7,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.7,Draba verna,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.7,Plantago patagonica ,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.7,Pseudoroegneria spicata,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.7,Litter,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.7,Biocrust late,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.7,Rock,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.7,Bare,40,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.9,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.9,Draba verna,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.9,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.9,Rock,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.9,Poa secunda,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.9,Litter,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.9,Bare,35,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,9.9,Biocrust late,40,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,10.1,Bromus tectorum,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,10.1,Draba verna,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,10.1,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,10.1,Rock,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,10.1,Bare,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,10.1,Litter,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,10.1,Poa secunda,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,S,control,10.1,Biocrust late,70,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.3,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.3,Vulpia octoflora,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.3,Litter,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.3,Biocrust late,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.3,Rock,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.3,Bare,55,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.5,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.5,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.5,Biocrust late,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.5,Litter,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.5,Rock,35,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.5,Bare,40,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.7,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.7,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.7,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.7,Biocrust late,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.7,Bare,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.7,Poa secunda,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.7,Rock,60,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.9,Biocrust late,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.9,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.9,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.9,Pseudoroegneria spicata,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.9,Vulpia octoflora,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.9,Litter,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.9,Rock,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,2.9,Bare,65,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.1,Biocrust late,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.1,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.1,Rock,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.1,Poa secunda,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.1,Litter,30,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.1,Bare,50,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.3,Bare,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.3,Rock,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.3,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.3,Biocrust late,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.3,Poa bulbosa,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.3,Litter,75,1,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.5,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.5,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.5,Vulpia octoflora,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.5,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.5,Rock,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.5,Bare,40,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.5,Biocrust late,40,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.7,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.7,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.7,Euphorbia esula,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.7,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.7,Vulpia octoflora,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.7,Rock,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.7,Bare,35,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.7,Biocrust late,45,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.9,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.9,Vulpia octoflora,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.9,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.9,Bare,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.9,Rock,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,3.9,Biocrust late,60,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.1,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.1,Vulpia octoflora,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.1,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.1,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.1,Rock,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.1,Bare,35,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.1,Biocrust late,40,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.3,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.3,Bare,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.3,Litter,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.3,Rock,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.3,Biocrust late,25,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.3,Poa bulbosa,30,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.5,Bromus tectorum,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.5,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.5,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.5,Biocrust late,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.5,Rock,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.5,Bare,65,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.7,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.7,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.7,Rock,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.7,Bare,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.7,Poa bulbosa,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.7,Biocrust late,55,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.9,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.9,Vulpia octoflora,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.9,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.9,Rock,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.9,Litter,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.9,Biocrust late,25,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,4.9,Bare,45,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.1,Bromus tectorum,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.1,Vulpia octoflora,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.1,Litter,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.1,Rock,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.1,Bare,25,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.1,Biocrust late,40,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.3,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.3,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.3,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.3,Bare,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.3,Rock,30,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.3,Biocrust late,50,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.5,Bare,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.5,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.5,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.5,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.5,Vulpia octoflora,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.5,Rock,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.5,Biocrust late,80,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.7,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.7,Bare,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.7,Vulpia octoflora,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.7,Litter,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.7,Rock,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.7,Biocrust late,70,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.9,Bromus tectorum,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.9,Bare,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.9,Biocrust late,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.9,Litter,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,5.9,Rock,70,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.1,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.1,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.1,Biocrust late,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.1,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.1,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.1,Rock,35,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.1,Bare,55,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.3,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.3,Vulpia octoflora,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.3,Biocrust late,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.3,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.3,Bare,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.3,Rock,80,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.5,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.5,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.5,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.5,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.5,Bare,25,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.5,Rock,30,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.5,Biocrust late,35,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.7,Bromus tectorum,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.7,Plantago patagonica ,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.7,Vulpia octoflora,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.7,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.7,Bare,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.7,Litter,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.7,Rock,30,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.7,Biocrust late,45,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.9,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.9,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.9,Rock,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.9,Vulpia octoflora,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.9,Biocrust late,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.9,Litter,20,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,6.9,Bare,40,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,7.1,Bromus tectorum,0,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,7.1,Vulpia octoflora,1,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,7.1,Litter,5,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,7.1,Bare,10,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,7.1,Rock,15,,,,,,,,,,,,,,,,,,,,
MPG_TH,W,removal,7.1,Biocrust late,70,,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.2,Erodium cicutarium,20,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.2,Litter,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.2,Bare,75,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.4,Erodium cicutarium,50,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.4,Bare,50,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.6,Bromus tectorum,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.6,Erodium cicutarium,20,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.6,Bare,75,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.8,Erodium cicutarium,50,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.8,Litter,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,2.8,Bare,45,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3,Bromus tectorum,20,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3,Alyssum desertorum,1,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3,Erodium cicutarium,30,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3,Bare,50,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.2,Bare,40,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.2,Erodium cicutarium,50,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.2,Draba spp,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.2,Litter,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.4,Bromus tectorum,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.4,Draba spp,30,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.4,Erodium cicutarium,30,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.4,Bare,30,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.6,Bare,70,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.6,Draba spp,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.6,Erodium cicutarium,25,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.8,Litter,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.8,Bare,75,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,3.8,Erodium cicutarium,25,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4,Bare,80,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4,Erodium cicutarium,15,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4,Bromus tectorum,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.2,Tetradymia canescens,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.2,Draba spp,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.2,Bare,70,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.2,Erodium cicutarium,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.4,Litter,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.4,Draba spp,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.4,Bromus tectorum,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.4,Erodium cicutarium,30,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.4,Bare,50,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.6,Tetradymia canescens,30,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.6,Erodium cicutarium,20,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.6,Bare,60,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.6,Bromus tectorum,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.8,Bromus tectorum,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.8,Draba spp,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.8,Erodium cicutarium,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.8,Litter,20,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,4.8,Bare,65,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5,Bare,80,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5,Litter,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5,Erodium cicutarium,15,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5,Bromus tectorum,1,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5.2,Bromus tectorum,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5.2,Bare,80,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5.2,Erodium cicutarium,15,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5.4,Erodium cicutarium,40,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5.4,Bare,60,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5.6,Bromus tectorum,30,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5.6,Bare,70,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5.8,Erodium cicutarium,40,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,5.8,Bare,60,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6,Alyssum desertorum,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6,Erodium cicutarium,20,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6,Litter,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6,Bare,60,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.2,Draba spp,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.2,Bare,80,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.2,Erodium cicutarium,15,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.4,Bromus tectorum,1,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.4,Erodium cicutarium,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.4,Microsteris gracilis,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.4,Bare,80,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.4,Litter,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.6,Alyssum desertorum,30,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.6,Erodium cicutarium,20,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.6,Draba spp,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.6,Bare,45,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.8,Bare,90,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.8,Erodium cicutarium,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,6.8,Draba spp,1,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,7,Bromus tectorum,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,7,Bare,95,NA,,,,,,,,,,,,,,,,,,,
Peavine,N,removal,7,Erodium cicutarium,1,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.2,Erodium cicutarium,90,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.2,Bare,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.4,Bromus tectorum,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.4,Erodium cicutarium,80,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.4,Bare,15,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.6,Bare,50,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.6,Bromus tectorum,10,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.6,Erodium cicutarium,40,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.8,Bromus tectorum,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.8,Erodium cicutarium,80,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,0.8,Bare,15,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1,Bromus tectorum,1,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1,Bare,80,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1,Erodium cicutarium,20,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.2,Bromus tectorum,1,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.2,Erodium cicutarium,30,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.2,Bare,70,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.4,Tetradymia canescens,50,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.4,Erodium cicutarium,75,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.4,Bare,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.6,Tetradymia canescens,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.6,Bare,80,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.6,Erodium cicutarium,20,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.8,Bromus tectorum,5,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.8,Erodium cicutarium,50,NA,,,,,,,,,,,,,,,,,,,
Peavine,W,control,1.8,Bare,45,NA,,,,,,,,,,,,,,,,,,,
